Theater,TheaterLabel,Sitz,SitzLabel
http://www.wikidata.org/entity/Q122798903,Theatergemeinschaft Amerang,http://www.wikidata.org/entity/Q463022,Amerang
http://www.wikidata.org/entity/Q122798905,Theatergemeinschaft Mammendorf,http://www.wikidata.org/entity/Q254657,Adelshofen
http://www.wikidata.org/entity/Q122798906,Theatergemeinschaft Prutting,http://www.wikidata.org/entity/Q532859,Prutting
http://www.wikidata.org/entity/Q122798908,Theatergemeinschaft Schnaitsee,http://www.wikidata.org/entity/Q280425,Schnaitsee
http://www.wikidata.org/entity/Q122798910,Theatergemeinschaft Tattenhausen,http://www.wikidata.org/entity/Q532876,Großkarolinenfeld
http://www.wikidata.org/entity/Q122798914,Theatergesellschaft Hüttenbach 1913,http://www.wikidata.org/entity/Q552412,Simmelsdorf
http://www.wikidata.org/entity/Q122798915,Theatergesellschaft Simmerberg,http://www.wikidata.org/entity/Q537453,Weiler-Simmerberg
http://www.wikidata.org/entity/Q122798917,"Theatergruppe ""d'Lamerer""",http://www.wikidata.org/entity/Q508680,Lohberg
http://www.wikidata.org/entity/Q122798918,"Theatergruppe ""Die Buschklopfer""",http://www.wikidata.org/entity/Q157598,Kulmbach
http://www.wikidata.org/entity/Q122798920,"Theatergruppe ""d`Goaslandler""",http://www.wikidata.org/entity/Q549110,Rieden
http://www.wikidata.org/entity/Q122798921,"Theatergruppe ""Klappe"" Wilburgstetten",http://www.wikidata.org/entity/Q507412,Wilburgstetten
http://www.wikidata.org/entity/Q122798923,"Theatergruppe ""Kulturfabrik Berching""",http://www.wikidata.org/entity/Q248062,Q248062
http://www.wikidata.org/entity/Q122798924,"Theatergruppe ""Rasselglocke"" München",http://www.wikidata.org/entity/Q264899,Unterhaching
http://www.wikidata.org/entity/Q122798926,Theatergruppe 1982 Stephanskirchen,http://www.wikidata.org/entity/Q532986,Stephanskirchen
http://www.wikidata.org/entity/Q122798928,Theatergruppe Bockhorn,http://www.wikidata.org/entity/Q533203,Bockhorn
http://www.wikidata.org/entity/Q122798929,Theatergruppe Brand,http://www.wikidata.org/entity/Q705752,Brand
http://www.wikidata.org/entity/Q122798931,Theatergruppe der FFW Unterschöneberg,http://www.wikidata.org/entity/Q437465,Altenmünster
http://www.wikidata.org/entity/Q122798932,Theatergruppe der Kolpingfamilie St. Ulrich,http://www.wikidata.org/entity/Q2749,Augsburg
http://www.wikidata.org/entity/Q122798934,Theatergruppe der Lindenschützen,http://www.wikidata.org/entity/Q489303,Schweitenkirchen
http://www.wikidata.org/entity/Q122798935,Theatergruppe der Spvg Ahorn,http://www.wikidata.org/entity/Q267254,Ahorn
http://www.wikidata.org/entity/Q122798937,Theatergruppe des Club-Haus Kondrau,http://www.wikidata.org/entity/Q241889,Waldsassen
http://www.wikidata.org/entity/Q122798938,"Theatergruppe des G.T.E.V. ""Edelweiß"" Burgkirchen",http://www.wikidata.org/entity/Q701332,Emmerting
http://www.wikidata.org/entity/Q122798942,Theatergruppe des GTEV Dettendorf-Kematen,http://www.wikidata.org/entity/Q522430,Bad Feilnbach
http://www.wikidata.org/entity/Q122798944,Theatergruppe des SSV Wildpoldsried,http://www.wikidata.org/entity/Q549038,Betzigau
http://www.wikidata.org/entity/Q122798946,Theatergruppe des SV Söcking,http://www.wikidata.org/entity/Q61936,Starnberg
http://www.wikidata.org/entity/Q122798947,Theatergruppe des Trachtenvereins Almrausch Wasentegernbach,http://www.wikidata.org/entity/Q264395,Dorfen
http://www.wikidata.org/entity/Q122798949,Theatergruppe des Trachtenvereins Alpenrose,http://www.wikidata.org/entity/Q536462,Nußdorf am Inn
http://www.wikidata.org/entity/Q122798951,Theatergruppe des TSV Ebermergen,http://www.wikidata.org/entity/Q503226,Harburg (Schwaben)
http://www.wikidata.org/entity/Q122798952,"Theatergruppe Dietersburg ""d´Haselbacher""",http://www.wikidata.org/entity/Q559913,Dietersburg
http://www.wikidata.org/entity/Q122798954,Theatergruppe Dürnsricht/Wolfring,http://www.wikidata.org/entity/Q547861,Fensterbach
http://www.wikidata.org/entity/Q122798956,Theatergruppe Ebelsbach,http://www.wikidata.org/entity/Q507352,Ebelsbach
http://www.wikidata.org/entity/Q122798958,Theatergruppe Ebersdorf,http://www.wikidata.org/entity/Q572644,Ebersdorf bei Coburg
http://www.wikidata.org/entity/Q122798960,Theatergruppe Emmering,http://www.wikidata.org/entity/Q203397,Emmering
http://www.wikidata.org/entity/Q122798961,Theatergruppe Feichten,http://www.wikidata.org/entity/Q534074,Engelsberg
http://www.wikidata.org/entity/Q122798963,Theatergruppe Förbau,http://www.wikidata.org/entity/Q6938,Hof
http://www.wikidata.org/entity/Q122798964,Theatergruppe Geisenried,http://www.wikidata.org/entity/Q502955,Marktoberdorf
http://www.wikidata.org/entity/Q122798966,Theatergruppe Güntersdorf,http://www.wikidata.org/entity/Q489303,Schweitenkirchen
http://www.wikidata.org/entity/Q122798967,Theatergruppe Habach,http://www.wikidata.org/entity/Q302477,Habach
http://www.wikidata.org/entity/Q122798969,Theatergruppe Hagau,http://www.wikidata.org/entity/Q3004,Ingolstadt
